mhd-term-id,mhd-term,mtbls-st4c,mw-term,gnps-term,mhd-instance-of,mtbls-instance-of,mw-instance-of,gnps-instance-of,mtbls-term-id,mtbls-term,comment
MS_1000139,4000 QTRAP,AB SCIEX QTRAP 4000,ABI Sciex 4000 Qtrap; ABI Sciex API 4000 Qtrap,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000594,AB SCIEX QTRAP 4000,
MS_1000140,4700 Proteomics Analyzer,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000141,apex IV,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000142,apex Q,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000143,API 150EX,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000144,API 150EX Prep,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000145,API 2000,AB SCIEX API 2000,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_002035,AB SCIEX API 2000,
MS_1000146,API 3000,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000147,API 4000,AB SCIEX API 4000,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000593,AB SCIEX API 4000,
MS_1000148,autoflex II,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000149,autoflex TOF/TOF,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000150,Auto Spec Ultima NT,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000151,BioTOF II,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000152,BioTOF-Q,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000153,DELTA plusAdvantage,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000154,DELTAplusXP,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000156,esquire 4000,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000157,esquire 6000,Bruker Esquire 6000,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_000626,Bruker Esquire 6000,
MS_1000158,explorer,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000159,GCT,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000160,HCT,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000161,HCTplus,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000162,HiRes ESI,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000163,HiRes MALDI,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000164,IsoPrime,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000165,IsoProbe,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000166,IsoProbe T,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000167,LCQ Advantage,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000168,LCQ Classic,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000169,LCQ Deca XP Plus,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000170,M@LDI L,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000171,M@LDI LR,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000172,MAT253,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000173,MAT900XP,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000174,MAT900XP Trap,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000175,MAT95XP,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000176,MAT95XP Trap,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000177,microflex,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000178,microTOF LC,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000179,neptune,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000180,NG-5400,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000181,OMEGA,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000182,OMEGA-2001,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000183,OmniFlex,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000184,Platform ICP,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
MS_1000185,PolarisQ,Thermo Electron PolarisQ,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,MTBLS_001021,Thermo Electron PolarisQ,
MS_1000186,proteomics solution 1,,,,Mass spectrometry instrument,Parameter Value - Instrument,MS Instrument,MassSpectrometer,,,
